Alias,Women Count,Men Count,Total Voters,Turnout,Perc Turnout,GD Share of the turnout,GD vote count,GD share of the perc turnout,
00.03.55,849,611,1460,923,0.63,0.40087,370,0.253424658,
00.03.56,869,671,1540,972,0.63,0.41358,402,0.261038961,
00.03.57,866,627,1493,1088,0.73,0.3943,429,0.287340924,
00.03.58,903,633,1536,1061,0.69,0.41188,437,0.284505208,
00.03.59,850,635,1485,1020,0.69,0.3902,398,0.268013468,
00.03.60,723,541,1264,881,0.7,0.40976,361,0.285601266,
00.03.61,815,506,1321,941,0.71,0.40701,383,0.28993187,
00.03.62,978,738,1716,1165,0.68,0.36996,431,0.251165501,
00.03.63,936,818,1754,1105,0.63,0.37285,412,0.234891676,
00.03.64,1770,1437,3207,1881,0.59,0.48113,905,0.282195198,
00.03.65,542,466,1008,697,0.69,0.43902,306,0.303571429,
00.03.66,833,711,1544,932,0.6,0.52575,490,0.317357513,
00.03.67,920,811,1731,980,0.57,0.5051,495,0.285961872,
00.03.68,1048,837,1885,1119,0.59,0.52726,590,0.312997347,
00.03.69,739,676,1415,887,0.63,0.51409,456,0.322261484,
00.03.70,722,672,1394,827,0.59,0.50544,418,0.299856528,
00.03.71,938,673,1611,1026,0.64,0.32749,336,0.208566108,
00.03.72,1924,1415,3339,2229,0.67,0.34096,760,0.227613058,
00.03.73,962,756,1718,1179,0.69,0.36387,429,0.249708964,
00.03.74,839,671,1510,1038,0.69,0.35742,371,0.245695364,
00.03.75,911,636,1547,1113,0.72,0.40162,447,0.288946348,
00.03.76,1817,1398,3215,2133,0.66,0.3985,850,0.264385692,
00.03.77,660,516,1176,799,0.68,0.4005,320,0.272108844,
00.03.78,731,607,1338,861,0.64,0.3554,306,0.228699552,
00.03.79,1003,734,1737,1117,0.64,0.37064,414,0.238341969,
00.03.80,813,601,1414,983,0.7,0.39573,389,0.275106082,
00.03.81,803,593,1396,962,0.69,0.40644,391,0.28008596,
00.03.82,800,602,1402,944,0.67,0.43538,411,0.293152639,
00.03.83,891,719,1610,1078,0.67,0.42208,455,0.282608696,
00.03.84,1223,868,2091,1336,0.64,0.36003,481,0.230033477,
00.03.85,766,603,1369,881,0.64,0.34279,302,0.220598977,
00.03.86,764,611,1375,869,0.63,0.41772,363,0.264,
00.03.87,1066,776,1842,1119,0.61,0.31903,357,0.193811075,
00.03.88,810,611,1421,909,0.64,0.38174,347,0.244194229,
00.03.89,1428,1130,2558,1723,0.67,0.34068,587,0.229476153,
00.03.90,986,775,1761,1076,0.61,0.47119,507,0.2879046,
00.03.91,1421,1184,2605,1605,0.62,0.43614,700,0.268714012,
00.04.01,745,510,1255,685,0.55,0.43942,301,0.239840637,
00.04.02,1537,1114,2651,1478,0.56,0.39648,586,0.221048661,
00.04.03,1445,1017,2462,1302,0.53,0.43472,566,0.229894395,
00.04.04,1400,1029,2429,1267,0.52,0.53039,672,0.276657061,
00.04.05,1335,1049,2384,1252,0.53,0.54233,679,0.284815436,
00.04.06,1318,1013,2331,1344,0.58,0.40923,550,0.235950236,
00.04.07,819,710,1529,840,0.55,0.47857,402,0.262916939,
00.04.08,1037,805,1842,1163,0.63,0.47549,553,0.300217155,
00.04.09,929,708,1637,908,0.55,0.51872,471,0.287721442,
00.04.10,896,660,1556,1012,0.65,0.48715,493,0.316838046,
00.04.11,985,764,1749,1137,0.65,0.44151,502,0.287021155,
00.04.12,884,640,1524,940,0.62,0.4734,445,0.291994751,
00.04.13,1463,1094,2557,1424,0.56,0.46138,657,0.256941729,
00.04.14,1471,1194,2665,1418,0.53,0.49718,705,0.264540338,
00.04.15,1109,876,1985,1114,0.56,0.47487,529,0.266498741,
00.04.16,914,685,1599,694,0.43,0.64553,448,0.280175109,
00.04.17,1597,1222,2819,1521,0.54,0.4714,717,0.254345513,
00.04.18,746,608,1354,789,0.58,0.47148,372,0.274741507,
00.04.19,722,605,1327,818,0.62,0.45966,376,0.283345893,
00.04.20,1609,1391,3000,941,0.31,0.72582,683,0.227666667,
00.04.21,735,638,1373,503,0.37,0.6163,310,0.225782957,
00.05.01,1767,1379,3146,1543,0.49,0.50162,774,0.246026701,
00.05.02,1672,1371,3043,1416,0.47,0.61441,870,0.28590207,
00.05.03,1640,1229,2869,1415,0.49,0.47986,679,0.236667829,
00.05.04,891,664,1555,849,0.55,0.45936,390,0.250803859,
00.05.05,744,529,1273,652,0.51,0.45859,299,0.23487824,
00.05.06,1524,1108,2632,1426,0.54,0.47195,673,0.255699088,
00.05.07,900,678,1578,851,0.54,0.40893,348,0.220532319,
00.05.08,898,668,1566,877,0.56,0.43101,378,0.24137931,
00.05.09,881,691,1572,854,0.54,0.46604,398,0.253180662,
00.05.10,896,666,1562,895,0.57,0.42682,382,0.244558259,
00.05.11,1640,1202,2842,1574,0.55,0.49682,782,0.275158339,
00.05.12,1631,1159,2790,1613,0.58,0.45071,727,0.260573477,
00.05.13,1556,1137,2693,1414,0.53,0.46747,661,0.24545117,
00.05.14,994,766,1760,970,0.55,0.47216,458,0.260227273,
00.05.15,952,673,1625,1022,0.63,0.46184,472,0.290461538,
00.05.16,869,658,1527,859,0.56,0.46217,397,0.259986902,
00.05.17,898,679,1577,910,0.58,0.44066,401,0.254280279,
00.05.18,1565,1118,2683,1453,0.54,0.47213,686,0.255683936,
00.05.19,832,631,1463,863,0.59,0.4044,349,0.238550923,
00.05.20,901,721,1622,847,0.52,0.44982,381,0.234895191,
00.05.21,835,614,1449,849,0.59,0.46643,396,0.273291925,
00.05.22,1096,822,1918,1083,0.56,0.41644,451,0.235140772,
00.05.23,1004,735,1739,888,0.51,0.43581,387,0.222541691,
00.05.24,935,774,1709,881,0.52,0.44495,392,0.229373903,
00.05.25,1515,1248,2763,1240,0.45,0.43871,544,0.196887441,
00.05.26,895,623,1518,933,0.61,0.42337,395,0.260210804,
00.05.27,966,815,1781,941,0.53,0.44527,419,0.235261089,
00.05.28,792,647,1439,873,0.61,0.42955,375,0.260597637,
00.05.29,750,636,1386,913,0.66,0.48193,440,0.317460317,
00.05.30,1198,1012,2210,1211,0.55,0.5929,718,0.324886878,
00.05.31,1711,1457,3168,1471,0.46,0.50102,737,0.232638889,
00.05.32,1562,1301,2863,1315,0.46,0.47072,619,0.216206776,
00.05.33,646,639,1285,636,0.49,0.44497,283,0.220233463,
00.05.34,1687,1390,3077,1380,0.45,0.50217,693,0.22521937,
00.05.35,534,425,959,442,0.46,0.56561,250,0.260688217,
00.05.36,748,592,1340,786,0.59,0.42366,333,0.248507463,
00.05.37,711,508,1219,714,0.59,0.42997,307,0.251845775,
00.05.38,903,746,1649,1012,0.61,0.39921,404,0.244996968,
00.05.39,1491,1060,2551,1276,0.5,0.41771,533,0.208937672,
00.05.40,1293,1026,2319,1356,0.58,0.48599,659,0.284174213,
00.05.41,1125,767,1892,976,0.52,0.35348,345,0.182346723,
00.05.42,1664,1265,2929,1646,0.56,0.41616,685,0.233868214,
00.05.43,1459,1101,2560,1497,0.58,0.46025,689,0.269140625,
00.05.44,964,742,1706,1020,0.6,0.41275,421,0.246776084,
00.05.45,792,571,1363,752,0.55,0.38298,288,0.211298606,
00.05.46,1679,1304,2983,1567,0.53,0.38928,610,0.204492122,
00.05.47,725,480,1205,738,0.61,0.46883,346,0.287136929,
00.05.48,768,565,1333,726,0.54,0.47107,342,0.256564141,
00.05.49,872,624,1496,889,0.59,0.46007,409,0.273395722,
00.05.50,726,611,1337,748,0.56,0.44118,330,0.246821242,
00.05.51,1755,1361,3116,1710,0.55,0.44327,758,0.243260591,
00.05.52,1678,1301,2979,1564,0.53,0.40217,629,0.211144679,
00.05.53,1562,1245,2807,1498,0.53,0.43391,650,0.231563947,
00.05.54,1674,1325,2999,1744,0.58,0.44553,777,0.259086362,
00.05.55,1381,1076,2457,1378,0.56,0.41437,571,0.232397232,
00.05.56,966,740,1706,984,0.58,0.4624,455,0.266705744,
00.05.57,1561,1259,2820,1589,0.56,0.40214,639,0.226595745,
00.06.01,1285,947,2232,1234,0.55,0.42464,524,0.234767025,
00.06.02,1391,1084,2475,1350,0.55,0.42593,575,0.232323232,
00.06.03,1311,992,2303,1268,0.55,0.42902,544,0.236213634,
00.06.04,1284,1034,2318,1341,0.58,0.45116,605,0.261000863,
00.06.05,1395,1049,2444,1349,0.55,0.4129,557,0.227905074,
00.06.06,720,563,1283,775,0.6,0.46065,357,0.278254092,
00.06.07,1500,1119,2619,1510,0.58,0.42119,636,0.242840779,
00.06.08,1285,967,2252,1337,0.59,0.44727,598,0.265541741,
00.06.09,899,724,1623,920,0.57,0.38587,355,0.218730746,
00.06.10,767,617,1384,782,0.57,0.38491,301,0.217485549,
00.06.11,1547,1163,2710,1556,0.57,0.40488,630,0.232472325,
00.06.12,1442,1136,2578,1433,0.56,0.41103,589,0.228471683,
00.06.13,1483,1100,2583,1477,0.57,0.41909,619,0.239643825,
00.06.14,1306,952,2258,1308,0.58,0.43731,572,0.253321523,
00.06.15,1515,1146,2661,1563,0.59,0.44402,694,0.260804209,
00.06.16,1549,1134,2683,1534,0.57,0.42112,646,0.240775252,
00.06.17,1657,1192,2849,1642,0.58,0.40621,667,0.234117234,
00.06.18,1362,985,2347,1211,0.52,0.41701,505,0.2151683,
00.06.19,1237,867,2104,1051,0.5,0.46147,485,0.230513308,
00.06.20,1455,1086,2541,1407,0.55,0.40867,575,0.226288863,
00.06.21,811,578,1389,822,0.59,0.44526,366,0.26349892,
00.06.22,645,486,1131,693,0.61,0.41847,290,0.256410256,
00.06.23,1871,1365,3236,1640,0.51,0.41707,684,0.211372064,
00.06.24,1434,1129,2563,1330,0.52,0.44211,588,0.22941865,
