Row Labels,Sum of votes
00.10.13,770
00.10.14,408
00.10.15,1274
00.10.16,1628
00.10.17,1424
00.10.18,1216
00.10.19,1671
00.10.20,957
00.10.21,1766
00.10.22,898
00.10.23,1587
00.10.24,724
00.10.25,783
00.10.26,759
00.10.27,1362
00.10.28,1486
00.10.29,861
00.10.30,1632
00.10.31,1336
00.10.32,607
00.10.33,1609
00.10.34,1425
00.10.35,869
00.10.36,829
00.10.37,1254
00.10.38,972
00.10.39,1044
00.10.40,796
00.10.41,795
00.10.42,858
00.10.43,792
00.10.44,1462
00.10.45,1507
00.10.46,891
00.10.47,1092
00.10.48,911
00.10.49,845
00.10.50,921
00.10.51,1469
00.10.52,1422
00.10.53,1545
00.10.54,1284
00.10.55,1041
00.10.56,685
00.10.57,683
00.10.58,543
00.10.59,765
00.10.60,952
00.10.61,1400
00.10.62,1567
00.10.63,864
00.10.64,1498
00.10.65,1582
00.10.66,942
00.10.67,1517
00.10.68,790
00.10.69,1198
00.10.70,914
00.10.71,829
00.10.72,1574
00.10.73,1404
00.10.74,1365
00.10.75,1837
00.10.76,403
00.10.77,129
00.11.01,1136
00.11.02,442
00.11.03,1414
00.11.04,1104
00.11.05,826
00.11.06,984
00.11.07,517
00.11.08,231
00.11.09,380
00.11.10,716
00.11.11,1342
00.11.12,384
00.11.13,971
00.11.14,1502
00.11.15,75
00.11.16,563
00.11.17,1334
00.11.18,541
00.11.19,555
00.11.20,764
00.11.21,746
00.11.22,268
00.11.23,604
00.11.24,895
00.11.25,350
00.11.26,293
00.11.27,449
00.11.28,344
00.11.29,356
00.11.30,457
00.11.31,445
00.11.32,547
00.11.33,348
00.11.34,449
00.11.35,478
00.11.36,406
00.11.37,328
00.11.38,466
00.11.39,489
00.11.40,410
00.12.01,771
00.12.02,1321
00.12.03,1209
00.12.04,815
00.12.05,606
00.12.06,1035
00.12.07,1190
00.12.08,1271
00.12.09,735
00.12.10,799
00.12.11,626
00.12.12,251
00.12.13,55
00.12.14,884
00.12.15,758
00.12.16,827
00.12.17,784
00.12.18,639
00.12.19,575
00.12.20,835
00.12.21,719
00.12.22,132
00.12.23,1441
00.12.24,698
00.12.25,1053
00.12.26,639
00.12.27,885
00.12.28,879
00.12.29,691
00.12.30,907
00.12.31,648
00.12.32,737
00.12.33,738
00.12.34,627
00.12.35,524
00.12.36,733
00.12.37,759
00.12.38,536
00.12.39,439
00.12.40,716
00.12.41,331
00.12.42,882
00.12.43,346
00.12.44,294
00.13.01,1048
00.13.02,1054
00.13.03,1208
00.13.04,562
00.13.05,1202
00.13.06,1051
00.13.07,757
00.13.08,792
00.13.09,763
00.13.10,811
00.13.11,1319
00.13.12,160
00.13.13,1074
00.13.14,424
00.13.15,213
00.13.16,170
00.13.17,573
00.13.18,398
00.13.19,1032
00.13.20,444
00.13.21,357
00.13.22,171
00.13.23,966
00.13.24,340
00.13.25,1213
00.14.01,774
00.14.02,1263
00.14.03,809
00.14.04,744
00.14.05,583
00.14.06,609
00.14.07,334
00.14.08,686
00.14.09,569
00.14.10,559
00.14.11,1072
00.14.12,1122
00.14.13,518
00.14.14,437
00.14.15,558
00.14.16,301
00.14.17,445
00.14.18,616
00.14.19,327
00.14.20,247
00.15.01,826
00.15.02,776
00.15.03,493
00.15.04,1037
00.15.05,1084
00.15.06,1115
00.15.07,477
00.15.08,846
00.15.09,425
00.15.10,340
00.15.11,647
00.15.12,1504
00.15.13,876
00.15.14,440
00.15.15,475
00.15.16,960
00.15.17,673
00.15.18,635
00.15.19,538
00.15.20,172
00.15.21,558
00.15.22,972
00.15.23,878
00.15.24,346
00.15.25,493
00.15.26,466
00.15.27,544
00.15.28,593
00.15.29,254
00.15.30,773
00.15.31,914
00.16.01,799
00.16.02,835
00.16.03,724
00.16.04,825
00.16.05,765
00.16.06,765
00.16.07,449
00.16.08,413
00.16.09,861
00.16.10,837
00.16.11,680
00.16.12,249
00.16.13,188
00.16.14,184
00.16.15,1056
00.16.16,318
00.16.17,183
00.16.18,300
00.16.19,461
00.16.20,964
00.16.21,700
00.16.22,800
00.16.23,716
